player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Richaun Holmes,holmeri01,SAC,Roll + Cut Big,"1,074",C,28,,-0.74,-1.49,0.75,1.1,-0.66,-1.29,0.64,0.18,-0.12,0.3
Jaylen Hoard,hoardja01,OKC,Slasher,240,SF,23,,-0.74,-0.47,-0.27,0.3,-0.18,-0.41,0.23,0,0,0
Anthony Gill,gillan01,WAS,Roll + Cut Big,463,PF,29,,-0.74,-0.83,0.09,0.5,-1.49,-1.33,-0.16,0.82,0.2,0.62
RJ Nembhard Jr.,nembhrj01,CLE,Slasher,63,SG,23,,-0.74,-0.42,-0.32,0.1,-0.73,-0.44,-0.29,0.07,-0.07,0.13
Chimezie Metu,metuch01,SAC,Stretch Big,"1,279",C,25,,-0.75,-1.9,1.14,1.3,-0.47,-1.18,0.71,0.89,-0.07,0.96
Tremont Waters,watertr01,TOR/WAS,Movement Shooter,50,PG,24,,-0.75,-0.48,-0.28,0.1,-0.8,-0.5,-0.29,0,0,0
Dennis Smith Jr.,smithde03,POR,Slasher,638,PG,24,,-0.76,-1.43,0.66,0.7,-0.77,-1.16,0.4,-1.98,-1.12,-0.86
Darren Collison,collida01,LAL,Secondary Ball Handler,37,PG,34,,-0.77,-0.46,-0.31,0,-0.51,-0.34,-0.17,0,0,0
Brandon Knight,knighbr03,DAL,Secondary Ball Handler,65,PG,30,,-0.77,-0.31,-0.46,0.1,-0.63,-0.23,-0.4,0,0,0
Cameron Oliver,oliveca01,ATL,Roll + Cut Big,43,SF,25,,-0.77,-0.36,-0.41,0,-0.57,-0.38,-0.19,0,0,0
Deividas Sirvydis,sirvyde01,DET,Athletic Finisher,27,SG,21,,-0.77,-0.68,-0.09,0,-0.45,-0.44,-0.01,0,0,0
KZ Okpala,okpalkz01,MIA,Stretch Big,244,PF,22,,-0.78,-1.38,0.6,0.3,-1.33,-1.41,0.09,0.44,-0.07,0.51
